Stage;Segment;Experience Level;Product Tier;CampaignType;Industry;Market Maturity;Territory;Country;State Province;Created Date;CloseDate;Status;Units;Revenue;ClosePct;Product Name;Product Category;List Price
Negotiation;Enterprise;Junior;Basic;Webinar;Healthcare;Emerging;LATAM;Brazil;São Paulo;2023-01-02;2023-01-13;Won;688;88864,03;0,7;Parental Control Suite;Software;129
Qualification;Mid-Market;Mid-Level;Standard;Conference;Healthcare;Growth;APAC;Australia;Victoria;2023-01-02;2023-01-24;Won;310;56233,8;0,3;Office Suite Basic;Software;181
Negotiation;Enterprise;Senior;Basic;Conference;Finance;Mature;North America;United States;Washington;2023-01-10;2023-01-25;Won;1279;110008,88;0,8;Travel Adapter Kit;Accessories;86
Negotiation;Mid-Market;Senior;Premium;Email Campaign;Manufacturing;Mature;North America;United States;Washington;2023-01-12;2023-01-30;Won;92;79468,67;0,7;Extended Warranty;Services;855
Prospecting;Mid-Market;Mid-Level;Standard;Webinar;Retail;Mature;EMEA;Denmark;Hovedstaden;2023-01-14;2023-02-01;Lost;366;58657,86;0,2;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Principal;Standard;Partner Program;Technology;Growth;APAC;Australia;New South Wales;2023-01-09;2023-02-01;Lost;291;52707,62;0,0;Office Suite Basic;Software;181
Negotiation;Mid-Market;Junior;Basic;Digital Ads;Education;Mature;EMEA;Spain;Madrid;2023-01-19;2023-02-01;Lost;240;31018,74;0,7;Parental Control Suite;Software;129
Final Review;Mid-Market;Mid-Level;Standard;Conference;Healthcare;Mature;EMEA;Germany;Bavaria;2023-01-09;2023-02-08;Won;393;62993,18;0,9;Office Suite Enterprise;Software;160
Negotiation;Mid-Market;Senior;Standard;Digital Ads;Government;Emerging;LATAM;Brazil;Rio de Janeiro;2023-01-20;2023-02-10;Won;131;32022,77;0,8;ReadingPlus Annual;Software;244
Negotiation;Enterprise;Senior;Basic;Email Campaign;Healthcare;Mature;North America;Canada;Ontario;2023-01-02;2023-02-10;Won;698;81679,19;0,8;Cloud Sync Pro;Software;117
Qualification;Enterprise;Principal;Standard;Partner Program;Retail;Growth;APAC;Japan;Osaka;2023-01-17;2023-02-11;Won;399;157193,05;0,2;Installation Service;Services;393
Negotiation;Mid-Market;Junior;Standard;Email Campaign;Government;Mature;EMEA;Denmark;Jylland;2023-01-21;2023-02-11;Won;232;42116,92;0,7;Office Suite Basic;Software;181
Negotiation;Mid-Market;Mid-Level;Premium;Partner Program;Government;Mature;North America;Canada;British Columbia;2023-01-22;2023-02-13;Won;36;50704,96;0,6;Onsite Training;Services;1382
Qualification;Mid-Market;Principal;Premium;Partner Program;Government;Growth;APAC;India;Delhi;2023-01-21;2023-02-14;Won;24;33477,21;0,2;Onsite Training;Services;1382
